,name,year,month,era,bs_trip,selection,complete,shut_down,win,group,count,hold,innings,loss,blame,hitter,steersman,safety,stroke2,stroke3,homer,walk,high4,dune,fan,pitching,WHIP,bit_avg,on_base_per,OPS
130,넥센,14개,7월,5.31,80,19,0,0,13,6,6,4,166.0,98,98,741,655,188,34,1,24,68,0,10,140,3034,1.54,.287,.361,.813
131,NC,14개,7월,5.18,91,18,0,0,11,7,13,4,158.0,91,91,710,615,178,32,1,17,69,0,11,115,2773,1.56,.289,.369,.796
132,삼성,14개,7월,4.98,92,20,0,0,13,7,10,7,177.0,98,98,778,692,196,52,6,18,63,1,10,151,3004,1.46,.283,.349,.803
133,LG,14개,7월,4.56,96,20,0,0,13,7,12,9,181.2,92,92,799,691,185,23,3,15,71,8,19,136,3185,1.41,.268,.349,.724
134,롯데,14개,8월,6.59,89,20,0,0,5,14,10,1,173.1,127,127,811,698,212,41,5,14,82,4,12,136,3163,1.70,.304,.384,.820
135,삼성,14개,8월,5.98,85,19,0,0,10,9,10,7,168.2,112,112,765,681,208,38,2,29,50,2,14,161,2976,1.53,.305,.362,.857
136,두산,14개,8월,5.77,98,21,1,0,10,11,14,3,184.0,118,118,840,743,224,45,3,26,69,0,14,153,3265,1.59,.302,.368,.843
137,NC,14개,8월,5.74,94,21,0,0,9,12,6,8,182.0,116,116,828,705,206,38,3,24,81,0,16,138,3112,1.58,.292,.373,.830
138,SK,14개,8월,5.59,88,20,0,0,12,8,12,6,177.0,110,110,785,676,193,33,1,23,87,1,9,135,3125,1.58,.286,.372,.811
139,KIA,14개,8월,5.32,63,17,0,0,6,11,3,3,149.0,88,88,659,569,161,33,5,14,65,2,6,136,2561,1.52,.283,.360,.792
140,한화,14개,8월,5.20,72,19,1,1,12,7,5,7,171.1,99,99,756,641,180,36,4,22,81,2,12,136,3061,1.52,.281,.369,.821
141,LG,14개,8월,4.50,88,21,1,0,12,10,15,10,186.0,93,93,784,691,179,28,2,15,56,4,17,133,2987,1.26,.259,.326,.697
142,넥센,14개,8월,4.40,90,22,0,0,14,8,8,5,198.1,97,97,874,749,208,40,6,16,97,2,15,169,3657,1.54,.278,.370,.781
143,KIA,14개,9월,7.17,37,8,0,0,3,5,2,1,69.0,55,55,315,289,88,15,1,15,20,0,4,66,1211,1.57,.305,.357,.876
144,한화,14개,9월,6.85,41,11,1,0,3,7,0,1,92.0,70,70,432,375,121,24,2,15,42,1,4,52,1646,1.77,.323,.394,.911
145,NC,14개,9월,6.10,57,11,0,0,4,6,3,1,97.1,66,66,445,378,103,20,0,12,49,2,8,75,1735,1.56,.273,.364,.784
146,넥센,14개,9월,5.91,33,8,0,0,5,3,1,2,70.0,46,46,305,272,67,11,3,9,25,0,5,69,1188,1.31,.246,.319,.727
147,롯데,14개,9월,5.53,41,10,0,0,5,4,5,1,84.2,52,52,382,343,109,21,1,10,27,1,1,69,1399,1.61,.318,.364,.837
148,SK,14개,9월,5.42,44,11,1,0,6,3,3,2,93.0,56,56,414,365,99,24,3,12,38,2,8,66,1594,1.47,.271,.352,.804
149,두산,14개,9월,5.03,40,8,0,0,3,4,2,1,73.1,41,41,326,285,78,10,0,8,28,0,6,62,1246,1.45,.274,.348,.741
150,LG,14개,9월,4.88,36,8,0,0,4,3,8,2,72.0,39,39,320,277,79,10,2,7,29,0,6,41,1194,1.50,.285,.363,.775
151,삼성,14개,9월,4.39,30,9,1,1,5,3,0,1,80.0,39,39,340,302,76,18,2,5,27,1,6,82,1300,1.29,.252,.324,.699
152,kt,15개,3월,8.28,17,3,0,0,0,3,0,0,25.0,25,23,124,107,35,11,0,6,13,0,2,22,532,1.92,.327,.410,1.008
153,LG,15개,3월,6.46,14,3,0,0,0,3,2,0,23.2,17,17,111,93,27,3,1,5,14,1,1,19,417,1.73,.290,.385,.891
154,NC,15개,3월,5.63,10,2,0,0,0,2,0,0,16.0,13,10,72,64,19,0,1,4,6,1,0,5,260,1.56,.297,.347,.863
155,롯데,15개,3월,5.04,17,3,0,0,3,0,5,1,25.0,14,14,115,95,28,4,0,2,17,2,1,19,482,1.80,.295,.404,.804
156,SK,15개,3월,4.76,10,2,0,0,1,1,1,1,17.0,9,9,82,72,21,3,0,1,9,0,1,9,353,1.77,.292,.378,.753
157,삼성,15개,3월,4.67,15,3,0,0,2,1,3,1,27.0,14,14,115,97,21,7,1,1,14,0,1,21,473,1.30,.217,.319,.659
158,넥센,15개,3월,3.86,15,2,0,0,1,1,0,0,21.0,9,9,95,74,19,4,0,1,13,0,3,16,354,1.52,.257,.385,.736
159,한화,15개,3월,3.54,11,2,0,0,1,1,2,1,20.1,8,8,85,73,15,4,0,2,10,0,2,14,349,1.23,.206,.318,.660
160,KIA,15개,3월,3.50,11,2,0,0,2,0,1,1,18.0,7,7,77,68,22,7,1,0,7,0,0,12,327,1.61,.324,.382,.838
161,두산,15개,3월,2.50,8,2,0,0,2,0,3,1,18.0,5,5,76,67,18,3,0,0,6,0,1,9,290,1.33,.269,.329,.642
162,kt,15개,4월,5.52,101,22,0,0,3,19,1,1,195.2,134,120,909,755,222,37,3,28,129,4,9,151,3775,1.79,.294,.401,.864
163,NC,15개,4월,5.41,108,22,0,0,10,12,10,4,193.0,125,116,849,720,187,41,3,22,79,1,21,149,3349,1.38,.260,.344,.761
