,team,year,month,pov,obp,slg,ba,ops,era,fb,inning,fb_inning,whip
565,10,2018,10,0.2,0.336,0.455,0.272,0.792,6.58,30.0,52.0,0.577,1.73
566,10,2019,3,0.438,0.395,0.464,0.297,0.859,4.96,39.0,69.0,0.565,1.52
567,10,2019,4,0.429,0.324,0.365,0.252,0.689,5.31,68.0,183.0,0.372,1.61
568,10,2019,5,0.407,0.309,0.354,0.241,0.663,4.26,103.0,238.2,0.432,1.48
569,10,2019,6,0.375,0.33,0.348,0.248,0.678,4.72,85.0,215.2,0.395,1.5
570,10,2019,7,0.316,0.306,0.369,0.253,0.675,6.49,72.0,165.0,0.436,1.62
571,10,2019,8,0.583,0.314,0.353,0.261,0.668,5.21,88.0,209.0,0.421,1.64
572,10,2019,9,0.571,0.333,0.351,0.269,0.684,3.2,71.0,188.1,0.377,1.31
573,10,2020,5,0.375,0.308,0.348,0.242,0.656,5.26,92.0,207.0,0.444,1.58
574,10,2020,6,0.417,0.311,0.326,0.239,0.637,6.48,102.0,209.2,0.488,1.78
575,10,2020,7,0.292,0.313,0.308,0.229,0.621,4.64,106.0,221.1,0.479,1.51
576,10,2020,8,0.429,0.326,0.33,0.235,0.656,5.47,93.0,184.1,0.505,1.6
577,10,2020,9,0.44,0.332,0.367,0.262,0.7,4.26,109.0,232.2,0.469,1.42
578,10,2020,10,0.391,0.329,0.347,0.256,0.676,5.83,107.0,210.0,0.51,1.66
579,10,2021,3,0.857,,,,,,,,,
580,10,2021,4,0.304,0.33,0.339,0.239,0.67,4.55,120.0,200.0,0.6,1.5
581,10,2021,5,0.391,0.333,0.327,0.236,0.66,5.01,130.0,203.0,0.64,1.58
582,10,2021,6,0.36,0.332,0.37,0.235,0.702,4.96,122.0,216.0,0.565,1.59
583,10,2021,7,0.5,0.312,0.293,0.219,0.605,4.52,43.0,71.2,0.604,1.48
584,10,2021,8,0.571,0.331,0.331,0.231,0.662,4.33,72.0,158.0,0.456,1.46
585,10,2021,9,0.286,0.361,0.373,0.263,0.734,4.92,104.0,225.0,0.462,1.38
586,10,2021,10,0.278,0.318,0.31,0.219,0.628,4.18,82.0,185.0,0.443,1.47
587,10,2022,3,0.5,,,,,,,,,
588,10,2022,4,0.36,0.309,0.309,0.225,0.618,4.0,92.0,216.0,0.426,1.4
589,10,2022,5,0.577,0.318,0.387,0.251,0.705,6.51,96.0,228.0,0.421,1.67
590,10,2022,6,0.375,0.333,0.381,0.264,0.714,5.32,46.0,88.0,0.523,1.49
