,rank,name,year,month,bat_avg,at_bat,steerman,score,safety,stroke2,stroke3,homer,ruta,RBI,theft,dormitory,walk,dune,high4,fan,disease,heeta,happiness,on_base,long_hit,OPS
807,3,SSG,21개,5월,.282,954,799,137,225,40,4,32,369,126,21,7,121,13,2,174,18,14,7,.382,.462,.844
808,4,삼성,21개,5월,.279,900,786,123,219,38,4,23,334,115,23,4,81,9,2,136,13,10,14,.347,.425,.772
809,5,KIA,21개,5월,.275,871,748,97,206,25,4,11,272,93,12,8,97,13,2,135,23,9,4,.367,.364,.730
810,6,두산,21개,5월,.274,882,752,111,206,28,2,20,298,106,8,9,100,13,1,139,25,8,9,.365,.396,.761
811,7,LG,21개,5월,.267,960,815,119,218,44,3,22,334,114,17,4,111,17,2,151,21,10,7,.364,.410,.774
812,8,롯데,21개,5월,.262,863,757,101,198,39,1,17,290,97,16,4,92,3,3,161,20,3,8,.341,.383,.724
813,9,KT,21개,5월,.256,878,746,111,191,43,0,17,285,106,12,7,106,13,3,192,17,8,5,.356,.382,.738
814,10,한화,21개,5월,.236,882,747,83,176,30,4,10,244,78,14,10,104,10,1,200,13,11,10,.333,.327,.660
815,1,롯데,21개,6월,.301,1061,925,168,278,51,2,28,417,162,10,7,115,7,2,181,21,4,10,.378,.451,.829
816,2,NC,21개,6월,.279,909,780,130,218,39,2,31,354,120,17,4,95,15,7,174,21,12,7,.366,.454,.820
817,3,삼성,21개,6월,.272,1006,889,128,242,36,3,25,359,122,21,6,87,11,5,155,15,13,6,.342,.404,.746
818,4,LG,21개,6월,.264,933,792,127,209,32,2,30,335,125,11,7,107,18,2,132,19,9,7,.362,.423,.785
819,5,두산,21개,6월,.263,973,855,128,225,46,4,20,339,120,18,6,93,10,3,177,25,9,6,.340,.396,.737
820,6,KT,21개,6월,.262,872,756,121,198,31,2,24,305,113,18,7,97,7,8,153,14,9,3,.350,.403,.753
821,7,SSG,21개,6월,.257,988,832,130,214,33,1,42,375,123,16,10,116,22,5,151,23,9,9,.360,.451,.810
822,8,키움,21개,6월,.254,1037,871,124,221,42,6,18,329,120,15,8,134,13,2,194,19,8,11,.358,.378,.735
823,9,한화,21개,6월,.235,931,803,87,189,41,5,19,297,77,22,8,106,11,3,233,22,9,2,.332,.370,.702
824,10,KIA,21개,6월,.220,871,759,62,167,26,4,8,225,60,9,5,90,11,0,147,12,5,6,.310,.296,.606
825,1,KIA,21개,7월,.294,229,201,37,59,12,1,6,91,37,5,1,22,2,1,39,4,0,4,.362,.453,.815
826,2,삼성,21개,7월,.289,276,242,39,70,10,0,10,110,36,8,2,22,5,1,41,4,4,3,.357,.455,.811
827,3,두산,21개,7월,.282,203,174,23,49,12,1,4,75,22,2,0,25,2,0,29,6,0,2,.374,.431,.805
828,4,키움,21개,7월,.264,284,242,47,64,12,0,5,91,45,6,1,37,4,1,53,1,1,0,.371,.376,.747
829,5,롯데,21개,7월,.262,282,248,28,65,8,0,3,82,28,3,1,25,3,0,42,7,2,4,.332,.331,.663
830,6,SSG,21개,7월,.245,398,335,49,82,16,0,9,125,48,4,3,47,9,2,72,10,4,3,.350,.373,.723
831,7,KT,21개,7월,.242,260,227,34,55,9,0,6,82,32,1,2,24,2,2,46,5,5,2,.318,.361,.679
832,8,LG,21개,7월,.240,152,129,16,31,4,0,1,38,15,1,0,20,1,0,21,4,0,2,.342,.295,.637
833,9,NC,21개,7월,.235,173,149,14,35,1,1,5,53,14,1,2,15,5,0,34,4,1,3,.320,.356,.676
834,10,한화,21개,7월,.219,303,256,29,56,7,0,4,75,29,2,5,30,7,0,65,5,5,5,.312,.293,.605
835,1,KT,21개,8월,.268,693,593,88,159,27,0,14,228,83,14,4,75,11,2,128,9,8,6,.358,.384,.742
836,2,SSG,21개,8월,.265,556,501,74,133,22,1,23,226,73,9,4,41,6,1,115,14,3,5,.326,.451,.777
837,3,NC,21개,8월,.265,554,475,59,126,21,1,13,188,58,20,6,48,15,0,118,8,9,7,.347,.396,.743
838,4,LG,21개,8월,.261,598,521,72,136,21,2,11,194,69,11,6,59,9,2,106,12,6,3,.345,.372,.717
839,5,두산,21개,8월,.254,601,536,86,136,34,0,14,212,85,4,1,43,12,0,114,18,5,5,.321,.396,.716
840,6,삼성,21개,8월,.246,653,553,83,136,18,2,9,185,77,19,6,74,9,6,118,13,5,12,.338,.335,.673
841,7,롯데,21개,8월,.241,603,519,63,125,21,0,10,176,60,3,4,64,9,0,95,13,5,6,.331,.339,.670
842,8,키움,21개,8월,.234,616,531,67,124,21,1,10,177,62,4,4,56,13,3,113,14,7,9,.317,.333,.650
843,9,한화,21개,8월,.231,678,571,84,132,25,1,10,189,78,19,10,79,11,0,154,15,8,9,.331,.331,.662
844,10,KIA,21개,8월,.228,538,452,62,103,25,0,9,155,57,6,1,69,8,2,81,13,7,2,.339,.343,.682
845,1,롯데,21개,9월,.286,1075,942,143,269,57,3,16,380,135,10,5,104,14,2,180,15,7,8,.362,.403,.766
846,2,SSG,21개,9월,.280,1076,931,141,261,35,3,28,386,133,15,6,110,13,7,186,20,12,10,.361,.415,.776
847,3,두산,21개,9월,.272,1037,897,139,244,51,5,20,365,130,21,8,87,28,4,164,29,9,16,.349,.407,.756
848,4,삼성,21개,9월,.270,1011,882,135,238,40,4,32,382,128,13,10,102,8,1,168,19,7,12,.347,.433,.780
849,5,키움,21개,9월,.265,982,854,125,226,44,4,16,326,117,21,2,87,23,4,158,14,6,12,.344,.382,.726
850,6,한화,21개,9월,.263,1027,868,126,228,42,3,16,324,120,24,8,124,16,3,230,23,8,11,.361,.373,.734
851,7,KT,21개,9월,.256,997,859,128,220,44,1,15,311,121,24,12,107,8,2,196,17,10,12,.340,.362,.702
852,8,LG,21개,9월,.253,907,797,112,202,44,1,13,287,101,13,5,76,17,3,157,17,7,10,.328,.360,.688
853,9,NC,21개,9월,.243,1013,903,122,219,32,5,31,354,117,18,10,76,19,0,220,19,8,7,.312,.392,.705
854,10,KIA,21개,9월,.236,1045,915,106,216,30,4,16,302,101,10,6,109,8,1,177,23,6,7,.321,.330,.651
855,1,롯데,22개,4월,.265,929,834,98,221,40,2,16,313,94,6,8,69,6,5,170,24,13,7,.323,.375,.698
856,2,KIA,22개,4월,.261,932,823,103,215,48,4,11,304,96,7,3,87,13,2,177,23,6,3,.340,.369,.710
857,3,LG,22개,4월,.249,947,841,105,209,40,5,14,301,95,20,9,75,12,3,164,23,11,8,.316,.358,.674
858,4,KT,22개,4월,.244,904,802,91,196,24,2,16,272,82,19,8,74,14,1,199,14,10,4,.318,.339,.657
859,5,두산,22개,4월,.243,910,804,90,195,35,2,7,255,82,24,7,76,12,3,167,16,11,7,.315,.317,.632
860,6,SSG,22개,4월,.242,961,839,113,203,44,5,14,299,109,12,6,85,20,3,184,16,9,8,.324,.356,.680
861,7,삼성,22개,4월,.239,952,848,105,203,37,4,11,281,96,20,6,74,11,3,171,16,11,8,.306,.331,.637
862,8,키움,22개,4월,.231,954,848,88,196,41,5,17,298,84,18,4,73,20,3,181,12,7,6,.305,.351,.657
863,9,NC,22개,4월,.230,940,826,85,190,37,1,10,259,80,12,8,81,11,2,195,16,12,10,.304,.314,.617
864,10,한화,22개,4월,.225,933,819,85,184,29,2,12,253,77,28,8,94,9,1,224,14,5,6,.309,.309,.618
865,1,KIA,22개,5월,.284,1047,897,164,255,48,4,30,401,151,19,7,110,20,7,168,23,9,11,.371,.447,.818
866,2,LG,22개,5월,.279,1016,893,135,249,39,4,25,371,130,13,9,90,18,3,151,21,6,9,.354,.415,.769
867,3,삼성,22개,5월,.276,964,861,106,238,40,4,19,343,102,22,4,77,5,10,175,26,12,9,.336,.398,.735
868,4,NC,22개,5월,.271,998,884,113,240,55,1,21,360,109,16,9,81,19,5,180,29,6,8,.343,.407,.750
869,5,SSG,22개,5월,.265,1024,888,128,235,45,5,23,359,118,14,10,95,18,5,196,19,14,9,.345,.404,.749
870,6,두산,22개,5월,.259,990,860,132,223,42,1,14,309,118,21,8,100,9,3,157,31,11,10,.339,.359,.698
871,7,키움,22개,5월,.257,1019,895,135,230,49,9,16,345,122,12,5,93,13,7,189,14,8,10,.332,.385,.718
872,8,한화,22개,5월,.251,985,878,124,220,38,8,22,340,115,16,6,84,7,5,262,18,7,9,.318,.387,.705
873,9,KT,22개,5월,.248,1030,890,101,221,36,3,15,308,90,21,6,110,6,5,219,21,15,9,.332,.346,.678
874,10,롯데,22개,5월,.242,958,868,97,210,28,3,23,313,90,16,11,65,11,2,174,20,8,6,.301,.361,.662
875,1,두산,22개,6월,.273,318,278,54,76,12,2,12,128,51,1,4,32,3,0,43,5,1,4,.350,.460,.811
876,2,삼성,22개,6월,.273,334,300,43,82,15,0,5,112,41,8,0,21,2,2,59,2,7,4,.321,.373,.694
877,3,KT,22개,6월,.253,359,312,47,79,16,2,9,126,47,2,4,34,4,1,76,8,7,2,.332,.404,.736
878,4,한화,22개,6월,.253,309,273,38,69,17,0,3,95,35,3,8,31,2,0,70,7,0,2,.331,.348,.679
879,5,키움,22개,6월,.253,342,289,33,73,4,0,6,95,31,4,0,46,5,0,56,6,0,2,.363,.329,.691
880,6,LG,22개,6월,.246,328,284,51,70,11,3,9,114,47,5,2,33,9,1,50,1,1,1,.343,.401,.744
881,7,롯데,22개,6월,.246,326,297,28,73,14,1,2,95,23,1,3,21,4,3,61,6,3,1,.303,.320,.623
882,8,KIA,22개,6월,.239,310,280,36,67,5,1,11,107,36,8,0,23,3,0,55,5,2,2,.302,.382,.684
883,9,NC,22개,6월,.238,315,281,33,67,16,1,7,106,28,5,1,27,2,1,63,1,3,2,.308,.377,.685
884,10,SSG,22개,6월,.211,341,303,25,64,10,0,3,83,23,11,0,27,5,0,72,4,2,4,.283,.274,.557
